,Code Secteur,Libellé Secteur,Code Rayon,Libellé Rayon,Code Groupe de Famille ,Libellé  Groupe de Famille ,Code Famille ,Libellé  Famille ,Code Sous-Famille ,Libellé  Sous-Famille ,Code Unité de Besoin ,Libellé Unité de Besoin ,Code interne Enseigne sanitisé,Libellé code interne Enseigne,Code logistique,reference_id,Article Libellé Court,Article Libellé Long,PV Mag,Quantité vendue *,Stock en quantité,Date Deb Cad.,Date déréf.,Etat Assortiment,Picking,Date dernière vente *,Code interne actif,Code interne Commandable,PCB,Date dernière commande,Date dernière réception,Unnamed: 31,Unnamed: 32,Etat_initialisation,Famille_produit_initialise,codes
726,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,20,ENTREMET CREME CARAMEL,4597,CREME CARAMEL LA LAIT.8X100G,034854,3023290794920,X8 CRM CARAMEL,LAITIERE CRM CARAMEL X8,2.890000104904175,9.0,35.0,2013-08-01 00:00:00.000,,A l'assortiment-EFG--01/05/2017,,2020-08-10 12:58:00.000,Oui,Oui,4.0,2020-08-11 04:30:00.000,2020-08-10 03:32:00.400,,1,False,True,"(2510.0, 1)"
727,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,20,ENTREMET CREME CARAMEL,1258602,4X100G CREME CARAMEL B-MAMAN,181765,3045320517699,CREME CARAMEL X4,B-MAMAN CREME CARAMEL X4,1.8200000524520874,,17.0,2013-08-01 00:00:00.000,,A l'assortiment-EFG--01/05/2017,,,Oui,Oui,5.0,2020-07-09 04:30:00.000,2020-07-11 04:02:53.887,,1,False,True,"(2510.0, 1)"
728,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,20,ENTREMET CREME CARAMEL,1447481,8X100G CREME CARAMEL MDD,760975,3560070543182,8X100G CRM CARAMEL,MDD CREME CARAMEL 8X100G,2.7699999809265137,7.0,29.0,2013-08-01 00:00:00.000,,A l'assortiment-EFG--01/05/2017,,2020-08-10 10:56:00.000,Oui,Oui,3.0,2020-08-10 04:30:00.000,2020-08-10 03:32:00.400,,1,False,True,"(2510.0, 1)"
729,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,20,ENTREMET CREME CARAMEL,2752393,2X120G LA CREME CARAMEL MDDSEL,547178,3560071010850,LA CREME CARAMEL,MDD LA CREME CARA.2X120G,1.8899999856948853,1.0,9.0,2016-05-15 00:00:00.000,,A l'assortiment-EFG--15/04/2018,,2020-08-10 16:00:00.000,Oui,Oui,6.0,2020-08-10 04:30:00.000,2020-07-30 04:52:59.037,,1,False,True,"(2510.0, 1)"
730,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,20,ENTREMET CREME CARAMEL,2604734,LA CREME CARAMEL DUO 250G,307162,3760178253031,CREME CARAMEL DUO,LA CREME CARAMEL DUO 250G,2.950000047683716,,12.0,2016-05-15 00:00:00.000,,A l'assortiment-HIJ--01/02/2019,,,Oui,Oui,6.0,2020-08-05 04:30:00.000,2020-08-08 02:06:14.490,,1,False,True,"(2510.0, 1)"
731,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,30,ENTREMET CREME OEUFS CHOCOLAT,3560826,4X95G CREME OEUF VANI BIO LTR,790744,3023290013861,CREME OEUF VANILLE,4X95G CREME OE VAN  BIO,2.490000009536743,,7.0,2020-08-01 00:00:00.000,,Hors assortiment-,,,Non,Non,,2020-07-30 04:30:00.000,2020-08-03 02:15:33.183,,1,False,True,"(2510.0, 1)"
732,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,30,ENTREMET CREME OEUFS CHOCOLAT,23660,PETIT POT CREME  CHOCO 4X100G,596401,3023290035801,PETIT POT CREM CHO,LTR PPC CHOCO 4X100G,1.7100000381469727,5.0,14.0,2019-10-01 00:00:00.000,,A l'assortiment-EFG--01/10/2019,,2020-08-10 11:31:00.000,Oui,Oui,8.0,2020-08-10 04:30:00.000,2020-08-10 01:52:58.783,,1,False,True,"(2510.0, 1)"
733,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,30,ENTREMET CREME OEUFS CHOCOLAT,12298,PETIT POT CREME 8X100G,010577,3023290112243,8X100G PPC CHOCO,LA LAITI PPC CHOCOLAT X8,2.880000114440918,6.0,26.0,2014-10-01 00:00:00.000,,A l'assortiment-EFG--01/05/2017,,2020-08-10 10:56:00.000,Oui,Oui,4.0,2020-08-11 04:30:00.000,2020-08-10 01:52:58.783,,1,False,True,"(2510.0, 1)"
734,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,30,ENTREMET CREME OEUFS CHOCOLAT,1019489,4X100G POT CREME CHOC.MDD,878275,3270190216810,CREME CHOCO.MDD X4,MDD POT CREM.CHOCO.4X100G,1.3200000524520874,3.0,16.0,2020-05-12 00:00:00.000,,A l'assortiment-EFG--29/04/2020,,2020-08-10 11:43:00.000,Oui,Oui,8.0,2020-08-08 04:30:00.000,2020-08-11 04:40:45.193,,1,False,True,"(2510.0, 1)"
735,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,30,ENTREMET CREME OEUFS CHOCOLAT,1615358,8X100G PT POT CREME CHOCO MDD,005959,3560070836246,8X POT CREME CHOCO,MDD PT POT CREME CHOCO X8,2.5999999046325684,4.0,16.0,2020-05-21 00:00:00.000,,A l'assortiment-EFG--21/05/2020,,2020-08-10 16:11:00.000,Oui,Oui,4.0,2020-08-11 04:30:00.000,2020-08-11 04:46:35.613,,1,False,True,"(2510.0, 1)"
736,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,31,ENTREMET CREME OEUFS VANILLE,26468,PETIT POT CREME VANILLE4X100G,596402,3023290035924,PETIT POT CREM VAN,LTR PPC VANILLE 4X100G,1.7100000381469727,2.0,32.0,2019-10-01 00:00:00.000,,A l'assortiment-EFG--01/10/2019,,2020-08-10 11:31:00.000,Oui,Oui,8.0,2020-08-10 04:30:00.000,2020-08-10 01:52:58.783,,1,False,True,"(2510.0, 1)"
737,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,31,ENTREMET CREME OEUFS VANILLE,12300,PETIT POT CREME VANILLE 8X100G,011947,3023290112267,8X100G PPC VANILLE,LA LAIT PPC VANILLE X8,2.880000114440918,15.0,17.0,2014-10-01 00:00:00.000,,A l'assortiment-EFG--01/05/2017,,2020-08-10 10:15:00.000,Oui,Oui,4.0,2020-08-11 04:30:00.000,2020-08-10 03:32:00.400,,1,False,True,"(2510.0, 1)"
738,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,31,ENTREMET CREME OEUFS VANILLE,26468,PETIT POT CREME VANILLE4X100G,161838,3023290236826,4X100G PPC VANILLE,LA LAITIERE PPC VANILLE,1.590000033378601,,-2.0,2020-01-01 00:00:00.000,,A l'assortiment-EFG--01/10/2019,,,Oui,Non,8.0,2019-09-27 04:30:00.000,2019-09-30 00:00:00.000,,1,False,True,"(2510.0, 1)"
739,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,31,ENTREMET CREME OEUFS VANILLE,1019490,4X100G POT CREM.VANIL.MDD,878300,3270190216803,PT CREM VAN MDD X4,MDD POT CREM.VANIL.4X100G,1.409999966621399,6.0,19.0,2020-05-12 00:00:00.000,,A l'assortiment-EFG--29/04/2020,,2020-08-10 14:16:00.000,Oui,Oui,8.0,2020-08-11 04:30:00.000,2020-08-11 04:40:45.193,,1,False,True,"(2510.0, 1)"
740,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,31,ENTREMET CREME OEUFS VANILLE,2591639,8X100G PT POT CREME VANIL MDD,005990,3560070964048,X8 CREME VANILLE,MDD PT POT CRM VANILLE X8,2.7899999618530273,2.0,24.0,2020-04-29 00:00:00.000,,A l'assortiment-EFG--29/04/2020,,2020-08-10 18:29:00.000,Oui,Oui,4.0,2020-08-11 04:30:00.000,2020-08-10 01:53:02.170,,1,False,True,"(2510.0, 1)"
741,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,35,ENTREMET CREME OEUFS AUTRES,22221,PETIT POT CREME CAFE 4X100G,596393,3023290035627,PETIT POT CREM CAF,LTR PPC CAFE 4X100G,1.7100000381469727,2.0,-3.0,2019-10-01 00:00:00.000,,A l'assortiment-EFG--01/10/2019,,2020-08-10 10:48:00.000,Oui,Oui,8.0,2020-08-10 04:30:00.000,2020-08-10 03:32:00.400,,1,False,True,"(2510.0, 1)"
742,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,35,ENTREMET CREME OEUFS AUTRES,2830758,4X100G PETIT POT CREME CARAMEL,596392,3023290035689,PETIT POT CREM CAR,LAITIERE PPC CARAM 4X100G,1.7100000381469727,3.0,25.0,2019-10-01 00:00:00.000,,A l'assortiment-EFG--01/10/2019,,2020-08-10 10:56:00.000,Oui,Oui,8.0,2020-08-11 04:30:00.000,2020-08-08 02:15:23.180,,1,False,True,"(2510.0, 1)"
743,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,35,ENTREMET CREME OEUFS AUTRES,22221,PETIT POT CREME CAFE 4X100G,011081,3023290112212,4X100G PPC CAFE,LA LAITIERE PPC CAFE X4,1.590000033378601,,22.0,2020-01-01 00:00:00.000,2020-02-10 00:00:00,A l'assortiment-EFG--01/10/2019,,,Oui,Non,8.0,2019-09-30 04:30:00.000,2019-09-30 00:00:00.000,,1,False,True,"(2510.0, 1)"
744,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,35,ENTREMET CREME OEUFS AUTRES,1242932,4X100G PETIT POT CREM.BISCUIT,770620,3023290640265,PPC BISCUIT 4X100G,PETIT POT CREM.BISCUIT.X4,1.809999942779541,5.0,8.0,2020-05-05 00:00:00.000,,A l'assortiment-EFG--05/05/2020,,2020-08-10 10:56:00.000,Oui,Oui,8.0,2020-08-11 04:30:00.000,2020-08-08 02:15:23.180,,1,False,True,"(2510.0, 1)"
745,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,35,ENTREMET CREME OEUFS AUTRES,1044255,4X100G CREM.PISTACHE LAITIERE,770609,3023290640586,CREME PISTACHE X4,PPC PISTACHE 4X100G,1.809999942779541,3.0,10.0,2020-04-30 00:00:00.000,,A l'assortiment-EFG--30/04/2020,,2020-08-10 10:56:00.000,Oui,Oui,8.0,2020-08-10 04:30:00.000,2020-08-07 04:19:11.287,,1,False,True,"(2510.0, 1)"
746,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,35,ENTREMET CREME OEUFS AUTRES,1131294,4X100G P.POT CREM.PISTACHE CHP,835582,3245412404405,POT CREME PISTACHE,MDD POT CREME PISTACHE X4,1.5199999809265137,1.0,21.0,2020-05-11 00:00:00.000,,A l'assortiment-EFG--11/05/2020,,2020-08-10 15:50:00.000,Oui,Oui,4.0,2020-08-11 04:30:00.000,2020-08-11 04:40:45.193,,1,False,True,"(2510.0, 1)"
747,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,35,ENTREMET CREME OEUFS AUTRES,1116022,4X100G PETIT POT CREM.CAFE CHP,835563,3270190216827,PT CREM CAF MDD X4,MDD PTIT POT CREM.CAFE X4,1.340000033378601,4.0,26.0,2020-05-11 00:00:00.000,,A l'assortiment-EFG--11/05/2020,,2020-08-10 18:41:00.000,Oui,Oui,4.0,2020-08-11 04:30:00.000,2020-08-11 04:40:45.193,,1,False,True,"(2510.0, 1)"
748,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,40,ENTREMET RIZ AU LAIT,1117265,8X115G RIZ LAIT VANIL.LAITIERE,557416,3023290036716,LTR RIZ LAIT VANIL,LTR RIZ LAIT VANIL 8X115G,2.390000104904175,12.0,31.0,2019-09-01 00:00:00.000,,A l'assortiment-EFG--01/09/2019,,2020-08-10 10:52:00.000,Oui,Oui,3.0,2020-08-11 04:30:00.000,2020-08-10 01:52:58.783,,1,False,True,"(2510.0, 1)"
749,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,40,ENTREMET RIZ AU LAIT,3627836,RIZ AU LAIT NATURE BIO 2X125G,026639,3279232151010,RIZ AU LAIT NATURE,RIZ AU LAIT NATURE BIO 2X,2.3399999141693115,1.0,13.0,2020-06-01 00:00:00.000,,A l'assortiment-EFG--01/06/2020,,2020-08-10 21:37:00.000,Oui,Oui,6.0,2020-08-05 04:30:00.000,2020-08-07 04:13:38.660,,1,False,True,"(2510.0, 1)"
750,1,PGC,25,P.L.S.,251,ULTRA FRAIS,2510,DESSERTS,1,DESSERTS ENTREMETS,40,ENTREMET RIZ AU LAIT,1554321,8X100G RIZ AU LAIT VANIL MDD,522373,3560071074036,RIZ AU LAIT VANILL,RIZ AU LT VANILLE 8X115G,1.7799999713897705,7.0,47.0,2017-03-01 00:00:00.000,,A l'assortiment-EFG--01/05/2017,,2020-08-10 09:25:00.000,Oui,Oui,6.0,2020-08-10 04:30:00.000,2020-08-11 04:40:45.193,,1,False,True,"(2510.0, 1)"
