"shop,""aisle"",""reference_id"",""reference_name"",""last_control"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3095756947010"",""F.M TRANCHE FIN DE BOEUF"",""2020-08-06 03:03:20+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3095757905019"",""2 TR ROTI PORC CUIT JAIM"",""2020-08-06 03:03:28+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3388043539396"",""N.N BLANC DINDE X8TR 360G"",""2020-08-06 03:03:57+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""7613035819887"",""T NOIX CHARCUTIER SR 4T"",""2020-08-06 03:04:03+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3095756197019"",""BLC PLT TOURNEBROCHE 6TR"",""2020-08-06 03:04:17+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""0309575621714"",""le torchon cuit à l'étouffée"",""2020-08-06 03:05:15+00"""
"Magasin Exercice,""Semi conserves"",""3175690065114"",""VERRE FILET ANCHOIS HUILE"",""2020-04-07 11:18:12.23+00"""
"Magasin Exercice,""Semi conserves"",""3440432018049"",""OEUFS DE TRUITE BIO SDC 8"",""2020-06-29 13:48:38.5+00"""
"Magasin Exercice,""bio"",""3608580013105"",""4X90G POM CHAT BIO SRP AN"",""2020-07-17 15:55:18.08+00"""
"Magasin Exercice,""bio"",""3608580013198"",""4X90G POM POIRE BIO SRP A"",""2020-07-17 15:55:41.534+00"""
"Magasin Exercice,""bio"",""3608580013228"",""ANDROS POMME NATURE BIO"",""2020-07-17 15:56:16.91+00"""
"Magasin Exercice,""bio"",""3560071237868"",""4X100G COMP POM/AB SSA CR"",""2020-07-17 15:56:37.363+00"""
"Magasin Exercice,""bio"",""3560071237851"",""4X100G CMP POM/BAN SSA CR"",""2020-07-17 15:56:56.122+00"""
"Magasin Exercice,""bio"",""3560071237844"",""4X100G CMP POM/POI SSA CR"",""2020-07-17 15:57:20.151+00"""
"Magasin Exercice,""bio"",""3560071237875"",""4X100G CMPT POM/CHATAI CR"",""2020-07-17 15:58:05.594+00"""
"Magasin Exercice,""bio"",""3273220540725"",""VRAI DE BR CHO BIO 2X125G"",""2020-07-17 16:06:05.576+00"""
"Magasin Exercice,""bio"",""3560070514601"",""PARMIGI.REGG.AOP MDD BIO"",""2020-07-17 16:39:10.839+00"""
"Magasin Exercice,""bio"",""8002503234625"",""BIO PARMIGIANO REGGIANO R"",""2020-07-17 16:39:31.366+00"""
"Magasin Exercice,""bio"",""3560070924950"",""150G PARMESAN.BIO AOP MDD"",""2020-07-17 16:39:44.75+00"""
"Magasin Exercice,""Halal & Casher"",""3512690000675"",""SCISSON SEC TR.HALAL 120G"",""2020-07-18 07:56:39.145+00"""
"Magasin Exercice,""bio"",""3560071176907"",""200G CANCOILLOTTE NAT MDD"",""2020-07-17 16:41:17.098+00"""
"Magasin Exercice,""bio"",""3560071008796"",""MDD PETIT BLEU BIO 250G"",""2020-07-17 16:44:14.159+00"""
"Magasin Exercice,""bio"",""3560071008314"",""BLEU DAUVERGNE BIO 125G"",""2020-07-17 16:44:45.652+00"""
"Magasin Exercice,""bio"",""3560071048877"",""200G MORBIER SKIN MDD BIO"",""2020-07-17 16:49:30.579+00"""
"Magasin Exercice,""bio"",""3123930671311"",""120G EMMEN ENTREMONT TRAN"",""2020-07-17 16:49:51.612+00"""
"Magasin Exercice,""bio"",""3090291122861"",""FOL EPI BIO TRANCHES 150G"",""2020-07-17 16:50:05.793+00"""
"Magasin Exercice,""bio"",""3481300334144"",""150G GOUDA BIO TRANCHES"",""2020-07-17 16:51:05.765+00"""
"Magasin Exercice,""bio"",""3481300334120"",""200G GOUDA BIO PORTION"",""2020-07-17 16:51:24.57+00"""
"Magasin Exercice,""bio"",""3560070514458"",""MDD BIO TRCHES GOUDA 200G"",""2020-07-17 16:51:39.382+00"""
"Magasin Exercice,""bio"",""3481300334168"",""150G CHEDDAR RGE BIO TRAN"",""2020-07-17 16:52:19.978+00"""
"Magasin Exercice,""bio"",""3481300334137"",""180G CHEDDAR ROUGE BIO PO"",""2020-07-17 16:52:36.353+00"""
"Magasin Exercice,""bio"",""3760056265262"",""PARMI BIO POINTE 170G"",""2020-07-17 16:40:01.95+00"""
"Magasin Exercice,""Halal & Casher"",""3700141403704"",""SAUCISSE SECHE DINDE ET V"",""2020-07-18 08:14:01.979+00"""
"Magasin Exercice,""bio"",""3273220541029"",""VRAI FROM BLC BREBIS BIO"",""2020-07-17 16:28:21.012+00"""
"Magasin Exercice,""bio"",""3451790013799"",""200G PL BEUR DX BIO E&V"",""2020-07-17 16:56:16.166+00"""
"Magasin Exercice,""bio"",""3451790013805"",""220G PL BEUR DS BIO E&V"",""2020-07-17 16:56:31.066+00"""
"Magasin Exercice,""bio"",""3272320012286"",""PAYSANGE ORTOLAN BIO 250G"",""2020-07-17 16:34:14.019+00"""
"Magasin Exercice,""bio"",""3073781115307"",""FROMAGE DE MARGOT NAT POT"",""2020-07-17 16:35:39.384+00"""
"Magasin Exercice,""bio"",""3073781114508"",""125G LE FROMAGE DE MARGOT"",""2020-07-17 16:35:57.722+00"""
"Magasin Exercice,""bio"",""3523230051217"",""NOTRE FROMAGE A TARTINER"",""2020-07-17 16:36:20.857+00"""
"Magasin Exercice,""pate a tarte"",""3560070496600"",""MDD FEUILLES DE FILO 250G"",""2020-07-18 08:56:36.272+00"""
"Magasin Exercice,""pate a tarte"",""7613036614573"",""136G FEUILLES DE BRICK 8P"",""2020-07-18 08:57:00.79+00"""
"Magasin Exercice,""pate a tarte"",""3560070454747"",""MDD FEUILL.BRICK PLIEE X8"",""2020-07-18 08:57:15.77+00"""
"Magasin Exercice,""36.1 Dessert enfant, yaourt à boire, crème dessert et 1/2 liégeois"",""3329770063075"",""YAB PTI FILOU PECH 6X100G"",""2020-07-18 09:01:09.292+00"""
"Magasin Exercice,""36.3 Chevre, brebis et soja"",""3608580942764"",""MOUSSE VEG CHOCO 4X55G"",""2020-07-18 09:13:07.281+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3245413780287"",""MDD RILLETTES THON 150G"",""2020-07-18 13:15:15.304+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3560071014803"",""MDD TARAMA EXTRA 180G"",""2020-07-18 13:17:36.283+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3333420001119"",""SAUCIS MORTEAU CUIRE 350G"",""2020-08-05 13:16:09+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3270190208624"",""SAUCISSON AIL NATURE 300G"",""2020-08-05 13:16:47+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""7613034969163"",""KNACKI -25% SEL 10P 350G"",""2020-08-05 13:18:11+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3095759617019"",""ALLU.LARD.FUM.BIO 120G"",""2020-08-05 13:19:21+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3095757125011"",""F.MICH.ALLUMETTESDE BACON"",""2020-08-05 13:18:42+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""7613036761420"",""HERTA ALL FUMEES CNSVSNIT"",""2020-08-05 13:20:24+00"""
"Magasin Exercice,""surimi et Traiteur de la mer"",""3038680075527"",""DELPIERRE FLT MAQUERX FUM"",""2020-08-05 14:39:40+00"""
"Magasin Exercice,""surimi et Traiteur de la mer"",""3760036820818"",""CREVETTES GRISES DECO 90G"",""2020-08-05 14:39:56+00"""
"Magasin Exercice,""surimi et Traiteur de la mer"",""3302746459027"",""FMT BAT.SURIMI 0% MAT.GR."",""2020-08-05 14:40:17+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3321436026462"",""SF BIO IRL 4T MIN 120G PO"",""2020-08-05 14:45:32+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3292070005864"",""OLIVE MANZANILLA ANDALOUS"",""2020-08-05 14:46:04+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3033610056812"",""SAUMON F -25% SEL 130G 4T"",""2020-08-05 14:46:23+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3270190025276"",""300G SAUM FUM ECOSSE 8T C"",""2020-08-05 14:48:05+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3067163638775"",""SAU FUM SAUV 6T MINI 180G"",""2020-08-05 14:49:20+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3033610088486"",""SF CAR ATL HUI BAS 100G"",""2020-08-05 14:49:27+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3440432019060"",""140G SAUMON FUM ALASKA 4T"",""2020-08-05 14:44:43+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3560071018689"",""MDD KTIPITI EXTRA 180G"",""2020-08-05 14:47:31+00"""
"Magasin Exercice,""œuf 🥚"",""3760150111854"",""6 OEUFS PA LNA TC"",""2020-08-05 14:59:15+00"""
"Magasin Exercice,""œuf 🥚"",""3251320021030"",""10 OEUFS BIO MOY LOUE"",""2020-08-05 14:59:44+00"""
"Magasin Exercice,""œuf 🥚"",""3760150111861"",""12 OEUFS PA LNA TC"",""2020-08-05 15:02:08+00"""
"Magasin Exercice,""uf blanc"",""3023290419694"",""LA LTR LT ENT.CITR 4X125G"",""2020-08-05 15:15:54+00"""
"Magasin Exercice,""Halal & Casher"",""3459860000601"",""ORIGINALES SNACKIS 360G"",""2020-07-20 04:32:45.191+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3560070700110"",""MDD BLANC DINDE DORE 6TR"",""2020-08-05 14:52:35+00"""
"Magasin Exercice,""Halal & Casher"",""3459860002612"",""DELICE DE CAMPAGNE 220G A"",""2020-07-20 04:34:24.028+00"""
"Magasin Exercice,""Semi conserves"",""3245412961113"",""MDD ROLLMOPS VINAIGR.200G"",""2020-08-05 14:53:04+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3449865302671"",""JBRID SALAMI 18T 180G"",""2020-07-20 08:16:22.732+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3245413856951"",""MDD SAUCISSON SEC BEAUFOR"",""2020-07-20 08:18:47.528+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""8410060130104"",""MINIJAMB POIDS FIXE 1KG"",""2020-07-20 08:19:43.944+00"""
"Magasin Exercice,""36.1 Dessert enfant, yaourt à boire, crème dessert et 1/2 liégeois"",""3033491432774"",""DANETTE 3 CHOCO 12X115G"",""2020-07-20 10:11:57.185+00"""
"Magasin Exercice,""36.3 Chevre, brebis et soja"",""3273220083000"",""SOJASUN CITRON PULPE X4"",""2020-07-20 09:52:24.289+00"""
"Magasin Exercice,""37.1 Pain de mie"",""3556071235270"",""PANOR.PAINS KEBAB X4 320G"",""2020-07-20 10:26:48.482+00"""
"Magasin Exercice,""37.2 Patisserie & viennoiserie"",""3368390000985"",""ARMOR DELICES MADELEINES"",""2020-07-20 10:27:26.232+00"""
"Magasin Exercice,""uf blanc"",""3426327634808"",""YAOURT FRAMBOISE 2X125G"",""2020-07-20 10:17:17.164+00"""
"Magasin Exercice,""37.2 Patisserie & viennoiserie"",""5410126112153"",""LOTUS GAUFRE SOFT POUDREE"",""2020-07-20 10:30:09.642+00"""
"Magasin Exercice,""bio"",""3560070900688"",""MDD BIO CAMEMBERT AOP"",""2020-07-21 03:18:13.849+00"""
"Magasin Exercice,""uf blanc"",""3033490004668"",""DANONE VEL FRUIX JNE X8"",""2020-06-26 13:25:40.668+00"""
"Magasin Exercice,""uf blanc"",""3033490004682"",""DANONE VEL FRUIX RGE X8"",""2020-06-26 13:26:43.022+00"""
"Magasin Exercice,""uf blanc"",""3033491315978"",""VEL FRUIX PCHOC 16X125G"",""2020-02-21 12:40:14.387+00"""
"Magasin Exercice,""uf blanc"",""3277396125014"",""PL ALP FRT RGE 6X125G"",""2020-07-21 08:49:26.654+00"""
"Magasin Exercice,""36.1 Dessert enfant, yaourt à boire, crème dessert et 1/2 liégeois"",""5038862239677"",""INN.SMOOTHIE ENERGY 750ML"",""2020-07-21 08:41:45.71+00"""
"Magasin Exercice,""uf blanc"",""3329770065949"",""4X125G SLA PERLE NATURE O"",""2020-07-21 08:53:38.284+00"""
"Magasin Exercice,""uf blanc"",""5200106871756"",""YRT GREC FRT ROUGE 2X170G"",""2020-07-21 09:04:35.909+00"""
"Magasin Exercice,""36.3 Chevre, brebis et soja"",""3523230048330"",""SOIGNON YRT CH FRA 4X110G"",""2020-07-21 09:43:00.47+00"""
"Magasin Exercice,""Halal & Casher"",""3512690003461"",""DELICE DE BF 3 POIVRES 4T"",""2020-07-21 03:23:37.879+00"""
"Magasin Exercice,""pane traiteur"",""3228021140063"",""BATONNET MOZZA EMMENTAL"",""2020-07-21 08:47:53.51+00"""
"Magasin Exercice,""Halal & Casher"",""3512690000033"",""SAUCISDEL.VOLAIL/VEAU"",""2020-07-21 03:31:50.653+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3245390093769"",""RDF SAUCISSON SEC ARDECHE"",""2020-07-21 09:17:11.894+00"""
"Magasin Exercice,""pane traiteur"",""3596690128249"",""PERE DODU CORDON BLEU PLT"",""2020-07-21 08:55:27.206+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""8410843112365"",""SAUCISSE SECHE U 250G"",""2020-07-21 09:19:19.224+00"""
"Magasin Exercice,""37.1 Pain de mie"",""3760049797381"",""ATEL. EPEAUTRE TOURNESOL"",""2020-07-21 11:23:52.455+00"""
"Magasin Exercice,""37.1 Pain de mie"",""3029330003830"",""JACQUET 4 PANINIS 240G"",""2020-07-21 11:25:25.05+00"""
"Magasin Exercice,""37.2 Patisserie & viennoiserie"",""3560071130794"",""120G 12 MOELLEUX AGRUM.CR"",""2020-07-21 11:30:46.759+00"""
"Magasin Exercice,""37.2 Patisserie & viennoiserie"",""3178530414394"",""MAD.COQ.PEP.CHOCO 700G"",""2020-07-21 11:31:30.832+00"""
"Magasin Exercice,""œuf 🥚"",""3560070416523"",""MDD 18 OEUFS CAILLES"",""2020-07-20 16:45:29.898+00"""
"Magasin Exercice,""Halal & Casher"",""3512690002976"",""I.D PTS SECS A CROQUER X4"",""2020-07-22 06:13:17.63+00"""
"Magasin Exercice,""32.1 Jambon cuit & viande cuite"",""3560071096298"",""240G JAMBON DE PARIS 6TR"",""2020-07-22 06:06:08.146+00"""
